File name,Package name,File size,Package size,File size in package (%),File size in system (%)
etc/fstab,skeleton-init-sysv,334,334,100.0,0.0
lib/libcrypt-2.30.so,glibc,30076,2372644,1.3,0.3
etc/ssl/misc/tsget.pl,libopenssl,6575,2392929,0.3,0.1
etc/hosts,skeleton-init-common,42,16190,0.3,0.0
lib/modules/4.19.16/modules.alias.bin,linux,20628,742187,2.8,0.2
etc/init.d/rcK,initscripts,423,2515,16.8,0.0
etc/services,skeleton-init-common,10873,16190,67.2,0.1
etc/init.d/rcS,initscripts,408,2515,16.2,0.0
lib/libgcc_s.so,toolchain-buildroot,132,162756,0.1,0.0
lib/libutil-2.30.so,glibc,9620,2372644,0.4,0.1
lib/ld-2.30.so,glibc,159500,2372644,6.7,1.5
lib/modules/4.19.16/kernel/fs/fat/vfat.ko,linux,17100,742187,2.3,0.2
